NAME,TYPE,DESCRIPTION,PATH,HEIGHT,.MANF,.MANF_P#,.PARAM,.PARAM2,.VALUE,https://github.com/WurthElektronik/Altium-Library/raw/refs/heads/main/
632722200211,PCBLIB,USB 3.1 Type C,Footprints/632722200211.PcbLib,124.409 mil,,,,,,2/26/2025 6:45:44 AM
79523141,PCBLIB,"Battery Holder, Battery Type: 2016,2020,2025,2032",Footprints/WA-BCMC.PcbLib,151.575 mil,,,,,,2/26/2025 6:45:44 AM
79523151,PCBLIB,,Footprints/WA-BCMC.PcbLib,0 mil,,,,,,2/26/2025 6:45:44 AM
79523211,PCBLIB,"Battery Holder, Battery Type: 2016,2020,2025,2032",Footprints/WA-BCMC.PcbLib,149.606 mil,,,,,,2/26/2025 6:45:44 AM
79573131,PCBLIB,"Battery Holder, Battery Type: 2430",Footprints/WA-BCMC.PcbLib,110.236 mil,,,,,,2/26/2025 6:45:44 AM
79573141,PCBLIB,"Battery Holder, Battery Type: 2430",Footprints/WA-BCMC.PcbLib,110.236 mil,,,,,,2/26/2025 6:45:44 AM
79573231,PCBLIB,"Battery Holder, Battery Type: 2430",Footprints/WA-BCMC.PcbLib,145.669 mil,,,,,,2/26/2025 6:45:44 AM
79527141,PCBLIB,Battery Holder,Footprints/WA-BCPH.PcbLib,222.441 mil,,,,,,2/26/2025 6:45:44 AM
79528211,PCBLIB,Battery Holder,Footprints/WA-BCPH.PcbLib,346.457 mil,,,,,,2/26/2025 6:45:44 AM
79548211,PCBLIB,Battery Holder,Footprints/WA-BCPH.PcbLib,712.598 mil,,,,,,2/26/2025 6:45:44 AM
79578211,PCBLIB,Battery Holder,Footprints/WA-BCPH.PcbLib,374.016 mil,,,,,,2/26/2025 6:45:44 AM
7471212,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,511.811 mil,,,,,,2/26/2025 6:45:44 AM
7471266,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,500 mil,,,,,,2/26/2025 6:45:44 AM
7471267,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,355.118 mil,,,,,,2/26/2025 6:45:44 AM
7471282,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,551.181 mil,,,,,,2/26/2025 6:45:44 AM
7471286,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,350 mil,,,,,,2/26/2025 6:45:44 AM
7471287,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,401.969 mil,,,,,,2/26/2025 6:45:44 AM
7473522,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,250 mil,,,,,,2/26/2025 6:45:44 AM
7474966,PCBLIB,Mounting Tabs & Tubular Cable Lugs,Footprints/WA-MTAB.PcbLib,350 mil,,,,,,2/26/2025 6:45:44 AM
5331006030,PCBLIB,,Footprints/WA-SMCH.PcbLib,118.11 mil,,,,,,2/26/2025 6:45:44 AM
78614010360,PCBLIB,"M3 Thread Internal, Length 1mm",Footprints/WA-SMSA.PcbLib,39.37 mil,,,,,,2/26/2025 6:45:44 AM
78614010960,PCBLIB,"SMT Steel Spacer Internal hole diameter 3.3mm non stop, height 1mm",Footprints/WA-SMSA.PcbLib,39.37 mil,,,,,,2/26/2025 6:45:44 AM
78614015360,PCBLIB,"M3 Thread Internal, Length 1.5mm",Footprints/WA-SMSA.PcbLib,59.055 mil,,,,,,2/26/2025 6:45:44 AM
78614015960,PCBLIB,"SMT Steel Spacer Internal hole diameter 3.3mm non stop, height 1.5mm",Footprints/WA-SMSA.PcbLib,59.055 mil,,,,,,2/26/2025 6:45:44 AM
78614020360,PCBLIB,"M3 Thread Internal, Length 2mm",Footprints/WA-SMSA.PcbLib,78.74 mil,,,,,,2/26/2025 6:45:44 AM
78614020960,PCBLIB,"SMT Steel Spacer Internal hole diameter 3.3mm non stop, height 2mm",Footprints/WA-SMSA.PcbLib,78.74 mil,,,,,,2/26/2025 6:45:44 AM
78614025360,PCBLIB,"M3 Thread Internal, Length 2.5mm",Footprints/WA-SMSA.PcbLib,98.425 mil,,,,,,2/26/2025 6:45:44 AM
78614025960,PCBLIB,"SMT Steel Spacer Internal hole diameter 3.3mm non stop, height 2.5mm",Footprints/WA-SMSA.PcbLib,98.425 mil,,,,,,2/26/2025 6:45:44 AM
